Name,Type,Trial,Win?,Total Time,Number of Moves,LLM Attempts,List of MovesMaze Layout,PST end of Sample,Outcome Reason
gemma-3-27b-it,ZeroShot,1,False,19.743196964263916,197,11,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'up', 'right', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'left', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'left', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'down']",P         \n ##       \n       ## \n    #   # \n          \n #       #\n          \n     ##  W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=24, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,3.7785286903381348,32,3,"['down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'down', 'down']",P         \n ##       \n          \n# #       \n #    #   \n   #      \n          \n##       W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=29, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,4.084980726242065,30,3,"['right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right']",P      ## \n  # #     \n        # \n          \n          \n ## #     \n          \n    #    W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=35, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,2.826681613922119,26,2,"['right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right']",P      #  \n#  #      \n #       #\n          \n     #    \n          \n#         \n   ## #  W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=40, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,5.009869337081909,37,4,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'right', 'down', 'down']",P###      \n          \n     ##   \n       #  \n #      # \n          \n          \n     #  #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=47, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.9133033752441406,22,2,"['right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'down']",P      #  \n #        \n    ##    \n          \n#  #      \n          \n   #   #  \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=28, tm_sec=53, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,14.073474884033203,124,11,"['right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right']",P         \n # #  #   \n    ##    \n      #   \n          \n          \n       # #\n     # # W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=29, tm_sec=9, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,6.29501748085022,55,4,"['right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right']",P         \n # #      \n #     #  \n#        #\n#     #   \n         #\n    #     \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=29, tm_sec=17, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.6321442127227783,26,3,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'down']",P#        \n          \n          \n    #   # \n #   #    \n       #  \n          \n  ## #  #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=29, tm_sec=23, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,152.5333960056305,22,3,"['down', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right']",P # #     \n   #      \n          \n    #     \n   #      \n     #    \n   #      \n# #      W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=31, tm_sec=57, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,5.436541318893433,39,3,"['right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down']",P   # #   \n#       # \n          \n      #   \n#         \n          \n    #  #  \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=5, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,4.2052161693573,32,3,"['right', 'right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right']",P        #\n#    #    \n        # \n       #  \n          \n     #    \n #    #   \n  #      W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=11, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,4.282577753067017,36,3,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right']",P         \n ## #     \n          \n  #       \n#      ## \n         #\n  #     # \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=17, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,5.5273237228393555,51,4,"['right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'up', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'right', 'down']",P #      #\n          \n #  #     \n  #     ##\n     #    \n #        \n          \n        #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=25, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,4.163041591644287,31,3,"['right', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'down', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right']",P       # \n #        \n          \n  #       \n     #    \n #     #  \n   #    # \n  #      W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=31, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,4.052155494689941,28,3,"['down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right']",P ##      \n        # \n #        \n      #   \n#     #   \n      #   \n          \n   ##    W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=37, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.411447048187256,28,3,"['right', 'down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'down', 'right', 'right', 'down', 'right', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'up', 'right', 'down', 'right']",P  #      \n          \n        # \n          \n     #  # \n          \n#   #  # #\n  #      W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=42, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,3.7908823490142822,35,3,"['right', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'right', 'up', 'right', 'down', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'up', 'right', 'right', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'down']",P   #     \n#         \n      # # \n          \n#         \n     ##   \n     #  # \n      #  W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=32, tm_sec=47, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,True,155.75368070602417,53,4,"['right', 'right', 'right', 'right', 'down', 'down', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'right', 'right', 'right']",P     # # \n    #   # \n      #   \n   #      \n         #\n  #      #\n     #    \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=35, tm_sec=25, tm_wday=6, tm_yday=173, tm_isdst=1)",success
gemma-3-27b-it,ZeroShot,1,False,16.147267818450928,158,11,"['right', 'right', 'right', 'down', 'down', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right']",P    #    \n  ##      \n        # \n          \n      #   \n          \n        # \n    # # #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=35, tm_sec=43, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,False,14.843347787857056,134,11,"['down', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'up', 'right', 'down', 'down', 'down', 'left', 'left', 'down', 'right', 'right', 'right']",P         \n  ##      \n   #      \n          \n          \n      # # \n  #  #  # \n      #  W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=36, tm_sec=0, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,False,14.497713804244995,129,11,"['down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right', 'down', 'right', 'right', 'right', 'down', 'down', 'left', 'left', 'left', 'down', 'right', 'right', 'right']",P#    #   \n          \n          \n          \n#     ##  \n  #      #\n          \n# #     #W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=36, tm_sec=16, tm_wday=6, tm_yday=173, tm_isdst=1)",failure
gemma-3-27b-it,ZeroShot,1,True,4.089920520782471,36,3,"['down', 'down', 'right', 'right', 'down', 'left', 'left', 'down', 'down', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'right', 'up', 'up', 'right', 'right', 'right', 'right', 'down']",P    #    \n          \n          \n #  #     \n       # #\n##       #\n    #     \n         W\n,"time.struct_time(tm_year=2025, tm_mon=6, tm_mday=22, tm_hour=20, tm_min=36, tm_sec=22, tm_wday=6, tm_yday=173, tm_isdst=1)",success
